Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,Family Description,FixedBin,PET_unit,CT_unit,MRI_unit,tool_names
grey-level run length matrix,long runs emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_lre
grey-level run length matrix,Low grey level run emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_lgre
grey-level run length matrix,High grey level run emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_hgre
grey-level run length matrix,Short run low grey level emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_srlge
grey-level run length matrix,Short run high grey level emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_srhge
grey-level run length matrix,Long run low grey level emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_lrlge
grey-level run length matrix,Long run high grey level emphasis,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_lrhge
grey-level run length matrix,Grey level non uniformity,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_glnu
grey-level run length matrix,Grey level non uniformity normalized,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_glnu_norm
grey-level run length matrix,Run length non uniformity,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_rlnu
grey-level run length matrix,Run length non uniformity normalized,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_rlnu_norm
grey-level run length matrix,Run percentage,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_r_perc
grey-level run length matrix,Grey level variance,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_gl_var
grey-level run length matrix,Run length variance,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_rl_var
grey-level run length matrix,Run entropy,RLM,2D:smrg,2D,TP0I,--,SUJT,GLRLMFeatures2DSmrg,FBT,--,--,--,Frlm_rl_entr
grey-level size zone matrix,small zone emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_sze
grey-level size zone matrix,large zone emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_lze
grey-level size zone matrix,low grey level zone emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_lgze
grey-level size zone matrix,high grey level zone emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_hgze
grey-level size zone matrix,small zone low grey level emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_szlge
grey-level size zone matrix,small zone high grey level emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_szhge
grey-level size zone matrix,large zone high grey level emphasis,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_lzlge
grey-level size zone matrix,grey level non uniformity glszm,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_glnu
grey-level size zone matrix,grey level non uniformity normalized glszm,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_glnu_norm
grey-level size zone matrix,zone size non uniformity,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_zsnu
grey-level size zone matrix,zone size non uniformity normalized,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_zsnu_norm
grey-level size zone matrix,zone percentage glszm,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_z_perc
grey-level size zone matrix,grey level variance glszm,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_lzhge
grey-level size zone matrix,zone size variance,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_zs_var
grey-level size zone matrix,zone size entropy,SZM,2D,2D,9SAK,--,8QNN,GLSZMFeatures2D,FBT,--,--,--,Fszm_zs_entr
neighbourhood grey tone difference matrix,coarseness,TDM,2D,2D,IPET,--,8QNN,ngtdmFeatures2avg,FBT,--,--,--,Fngt_coarseness
neighbourhood grey tone difference matrix,contrast,TDM,2D,2D,IPET,--,8QNN,ngtdmFeatures2avg,FBT,--,--,--,Fngt_contrast
neighbourhood grey tone difference matrix,busyness,TDM,2D,2D,IPET,--,8QNN,ngtdmFeatures2avg,FBT,--,--,--,Fngt_busyness
neighbourhood grey tone difference matrix,complexity,TDM,2D,2D,IPET,--,8QNN,ngtdmFeatures2avg,FBT,--,--,--,Fngt_complexity
neighbourhood grey tone difference matrix,strength,TDM,2D,2D,IPET,--,8QNN,ngtdmFeatures2avg,FBT,--,--,--,Fngt_strength
neighbouring grey level dependence matrix,low dependence emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_lde
neighbouring grey level dependence matrix,high dependence emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_hde
neighbouring grey level dependence matrix,low grey level count emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_lgce
neighbouring grey level dependence matrix,high grey level count emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_hgce
neighbouring grey level dependence matrix,low dependence low grey level emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_ldlge
neighbouring grey level dependence matrix,low dependence high grey level emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_ldhge
neighbouring grey level dependence matrix,high dependence low grey level emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_hdlge
neighbouring grey level dependence matrix,high dependence high grey level emphasis,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_hdhge
neighbouring grey level dependence matrix,grey level non uniformity,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_glnu
neighbouring grey level dependence matrix,grey level non uniformity normalized,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_glnu_norm
neighbouring grey level dependence matrix,dependence count non uniformity,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_dcnu
neighbouring grey level dependence matrix,dependence count non uniformity normalized,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_dcnu_norm
neighbouring grey level dependence matrix,grey level variance,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_gl_var
neighbouring grey level dependence matrix,dependence count variance,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_dc_var
neighbouring grey level dependence matrix,dependence count entropy,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_dc_entr
neighbouring grey level dependence matrix,dependence count energy,LDM,2D,2D,REK0,--,8QNN,ngldmFeatures2D,FBT,--,--,--,Fngl_dc_energy
