Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit,
grey-level co-occurrence matrix,contrast,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_contrast
grey-level co-occurrence matrix,dissimilarity,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_dissimilarity
grey-level co-occurrence matrix,inverse difference,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff
grey-level co-occurrence matrix,inverse difference normalised,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_norm
grey-level co-occurrence matrix,inverse difference moment,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_mom
grey-level co-occurrence matrix,inverse difference moment normalised,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_diff_mom_norm
grey-level co-occurrence matrix,inverse variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_inv_var
grey-level co-occurrence matrix,correlation,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_corr
grey-level co-occurrence matrix,autocorrelation,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_auto_corr
grey-level co-occurrence matrix,cluster tendency,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_clust_tend
grey-level co-occurrence matrix,cluster shade,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_clust_shade
grey-level co-occurrence matrix,cluster prominence,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_clust_prom
grey-level co-occurrence matrix,first measure of information correlation,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_info_corr_1
grey-level co-occurrence matrix,second measure of information correlation,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FBT,--,--,--,Fcm_info_corr_2
grey-level run length matrix,short run emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_sre
grey-level run length matrix,long runs emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_lre
grey-level run length matrix,Low grey level run emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_lgre
grey-level run length matrix,High grey level run emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_hgre
grey-level run length matrix,Short run low grey level emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_srlge
grey-level run length matrix,Short run high grey level emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_srhge
grey-level run length matrix,Long run low grey level emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_lrlge
grey-level run length matrix,Long run high grey level emphasis,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_lrhge
grey-level run length matrix,Grey level non uniformity,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_glnu
grey-level run length matrix,Grey level non uniformity normalized,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_glnu_norm
grey-level run length matrix,Run length non uniformity,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_rlnu
grey-level run length matrix,Run length non uniformity normalized,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_rlnu_norm
grey-level run length matrix,Run percentage,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_r_perc
grey-level run length matrix,Grey level variance,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_gl_var
grey-level run length matrix,Run length variance,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_rl_var
grey-level run length matrix,Run entropy,RLM,3D:mrg,3D,TP0I,--,IAZD,GLRLMFeatures3Dmrg,FBT,--,--,--,Frlm_rl_entr
grey-level size zone matrix,small zone emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_sze
grey-level size zone matrix,large zone emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_lze
